examLevelId,children,level1Content,level2Content,level3Content
HSK1,[],基本信息,个人信息,姓名、国籍、年龄、性别、喜好、习惯等
HSK1,[],基本信息,个人信息,身份、家庭成员、朋友、技能等
HSK1,[],基本信息,事件信息,日期、时间、地点、方位、参加者、号码等
HSK1,[],基本信息,物品信息,物品名称
HSK1,[],基本信息,物品信息,物品特征
HSK1,[],基本信息,环境信息,天气
HSK1,[],基本信息,环境信息,环境特点
HSK1,[],日常生活,交往,基本礼貌行为
HSK1,[],日常生活,交往,简单互动行为
HSK1,[],日常生活,交往,意愿感受
HSK1,[],日常生活,饮食,食物饮品
HSK1,[],日常生活,饮食,就餐
HSK1,[],日常生活,交通出行,问路
HSK1,[],日常生活,交通出行,出行方式
HSK1,[],日常生活,交通出行,出行安排
HSK1,[],日常生活,购物,商品名称
HSK1,[],日常生活,购物,商品价格
HSK1,[],日常生活,购物,商品选购
HSK1,[],日常生活,医疗健康,生病、看病、探病等
HSK1,[],日常生活,休闲,休闲活动
HSK1,[],教育情况,学习情况,课程信息
HSK1,[],教育情况,学习情况,学习内容
HSK1,[],教育情况,学习情况,教育层次
HSK1,[],教育情况,校园生活,学校情况
HSK1,[],教育情况,校园生活,课后活动
HSK1,[],职场生活,工作情况,工作信息
HSK1,[],职场生活,工作情况,工作评价
HSK1,[],职场生活,职业,职业种类
HSK1,[],文化与传统,饮食文化,中餐
HSK1,[],文化与传统,饮食文化,传统饮品
HSK2,[],基本信息,个人信息,外貌、穿着、生日等
HSK2,[],基本信息,个人信息,身份、习惯、爱好、来处等
HSK2,[],基本信息,事件信息,事件、人物、时间、方式、地址、原因、变化、状态等
HSK2,[],基本信息,物品信息,名称、颜色、差别、数量、所在、特点等
HSK2,[],基本信息,环境信息,天气
HSK2,[],基本信息,环境信息,环境特征
HSK2,[],日常生活,交往,基本礼貌行为
HSK2,[],日常生活,交往,简单互动行为
HSK2,[],日常生活,交往,意愿感受
HSK2,[],日常生活,饮食,食物饮品
HSK2,[],日常生活,饮食,饮食习惯
HSK2,[],日常生活,饮食,就餐
HSK2,[],日常生活,交通出行,问路
HSK2,[],日常生活,交通出行,出行方式
HSK2,[],日常生活,交通出行,出行安排
HSK2,[],日常生活,交通出行,出行感受
HSK2,[],日常生活,购物,商品选购
HSK2,[],日常生活,购物,商品描述
HSK2,[],日常生活,医疗健康,生病
HSK2,[],日常生活,医疗健康,就医
HSK2,[],日常生活,休闲,休闲活动
HSK2,[],日常生活,休闲,休闲安排
HSK2,[],日常生活,家庭生活,家庭关系
HSK2,[],日常生活,家庭生活,家庭活动
HSK2,[],教育情况,学习情况,基本情况
HSK2,[],教育情况,学习情况,学习经历
HSK2,[],教育情况,校园生活,学校情况
HSK2,[],教育情况,校园生活,课后活动
HSK2,[],职场生活,工作情况,工作信息
HSK2,[],职场生活,工作情况,工作经历、工作感受
HSK2,[],职场生活,职业,职业状况
HSK2,[],文化与传统,传统习俗,节日
HSK2,[],文化与传统,饮食文化,中餐印象
HSK2,[],文化与传统,姓氏文化,主要姓氏、正式称谓等
HSK3,[],日常生活,个人情况,个人信息
HSK3,[],日常生活,个人情况,个人特征
HSK3,[],日常生活,日常事务,事务处理
HSK3,[],日常生活,日常事务,业务办理
HSK3,[],日常生活,交往,礼貌行为
HSK3,[],日常生活,交往,意愿感受
HSK3,[],日常生活,饮食,食物饮品
HSK3,[],日常生活,饮食,饮食习惯
HSK3,[],日常生活,饮食,就餐
HSK3,[],日常生活,交通出行,出行方式
HSK3,[],日常生活,交通出行,出行安排
HSK3,[],日常生活,交通出行,出行经历
HSK3,[],日常生活,交通出行,交通规则
HSK3,[],日常生活,购物,商品选购
HSK3,[],日常生活,购物,购物经历
HSK3,[],日常生活,医疗健康,生病
HSK3,[],日常生活,医疗健康,就医
HSK3,[],日常生活,医疗健康,探病
HSK3,[],日常生活,医疗健康,健康观念
HSK3,[],日常生活,休闲,休闲活动
HSK3,[],日常生活,休闲,活动体验
HSK3,[],日常生活,社区,居住情况
HSK3,[],日常生活,家庭生活,生活习惯
HSK3,[],日常生活,家庭生活,家庭关系
HSK3,[],日常生活,家庭生活,家庭事务
HSK3,[],日常生活,家庭生活,居家生活
HSK3,[],教育情况,学习情况,课程情况
HSK3,[],教育情况,学习情况,学习活动
HSK3,[],教育情况,学习情况,学习环境
HSK3,[],教育情况,学习情况,学习经历
HSK3,[],教育情况,校园生活,校园活动
HSK3,[],教育情况,校园生活,学校情况
HSK3,[],教育情况,教育问题,家庭教育
HSK3,[],职场生活,日常办公,办公事务
HSK3,[],职场生活,日常办公,工作表现
HSK3,[],职场生活,日常办公,工作环境
