type,word,pinyin,cixing,sort,levelName
1,爱,ài,动,1,一级
1,八,bā,数,2,一级
1,爸爸,bàba,名,3,一级
1,吧,ba,助,4,一级
1,白天,báitiān,名,5,一级
1,百,bǎi,数,6,一级
1,半,bàn,数、（副）,7,一级（四级）
1,包子,bāozi,名,8,一级
1,杯子,bēizi,名,9,一级
1,本1,běn,量,10,一级
1,边,biān,名、后缀,11,一级
1,病,bìng,名、动,12,一级
1,不,bù,副,13,一级
1,不客气,bú kèqi,,14,一级
1,不要,búyào,副,15,一级
1,菜,cài,名,16,一级
1,茶,chá,名,17,一级
1,唱,chàng,动,18,一级
1,超市,chāoshì,名,19,一级
1,车,chē,名,20,一级
1,吃,chī,动,21,一级
1,出租车,chūzūchē,名,22,一级
1,穿,chuān,动,23,一级
1,打电话,dǎ diànhuà,,24,一级
1,大,dà,形,25,一级
1,大家,dàjiā,代,26,一级
1,大学,dàxué,名,27,一级
1,大学生,dàxuéshēng,名,28,一级
1,到,dào,动,29,一级
1,的,de,助,30,一级
1,第,dì,前缀,31,一级
1,弟弟,dìdi,名,32,一级
1,点1,diǎn,量、（名）,33,一级（三级）
1,店,diàn,名,34,一级
1,电话,diànhuà,名,35,一级
1,电脑,diànnǎo,名,36,一级
1,电视,diànshì,名,37,一级
1,电影,diànyǐng,名,38,一级
1,电影院,diànyǐngyuàn,名,39,一级
1,东西,dōngxi,名,40,一级
1,都,dōu,副,41,一级
1,读,dú,动,42,一级
1,读书,dúshū,动,43,一级
1,对,duì,形、介、（动、量）,44,一级（四级）
1,对不起,duìbuqǐ,动,45,一级
1,多,duō,形、动、代、（数、副）,46,一级（二级）
1,多少,duōshao,代,47,一级
1,儿子,érzi,名,48,一级
1,二,èr,数,49,一级
1,饭,fàn,名,50,一级
1,饭店,fàndiàn,名,51,一级
1,房间,fángjiān,名,52,一级
1,非常,fēicháng,副,53,一级
1,飞机,fēijī,名,54,一级
1,分,fēn,量、（动、名）,55,一级（三级）
1,分钟,fēnzhōng,量,56,一级
1,高兴,gāoxìng,形,57,一级
1,歌,gē,名,58,一级
1,哥哥,gēge,名,59,一级
1,个,gè,量,60,一级
